index,ID,Title,Citation,Content,SectionDetail1,SectionDetail2,SectionDetail3,SectionDetail4,CodingSummary,Disease Investigation,DIxRef,Disease Reporting,DRepxRef,Syndromic Surveillance,SSxRef,Lab Reporting,LRxRef,Cancer Registry,CRxRef,Immunization Registry,IRxRef,Vital Statistics,VSxRef,Birth Defects,BDxRef,Newborn Blood Screening,NBBSxRef,MethPrecursorTracking,MethTrackingxRef,Anatomical Gift,AGxRef,Mental and Behavioral Health Reporting,MHRxRef,Accountable Care Organizations,ACOxRef,HIE-HIO,HIExRef,EHR-Treatment,EHRxRef,EHR-Education,EdxRef,EHR-Corrections,CxRef,Workers Compensation,WCxRef,Payor,PxRef,Prescription Drug Monitoring Program,PDMPxRef,ControlledSubstances,CSxRef,HealthCareQuality,HCQxRef,AdvanceDirectiveInformationSystems,ADISxRef,TraumaInformationSystems,TISxRef,ChildBloodLead,CBLxRef,NewbornHearingScreening,NBHSxRef,MedicalMarijuana,MMxR,EMSReporting,EMSxRef,ChildSupportWelfareFoster,CSupportxRef,HazardousSubstanceRegistry,HazSubxRef,DriversLicense,DLxRef,ResearchPublicUse,PubUsexRef,HITOversight,HITOxRef,GovernmentRecords,GovRecxRef,OccupationalHealth,OHxRef,PublicAssistance,PubAssistxRef,DentalIdentification,DentalxRef,VulnerablePopulations,VulnerablePopxRef,BreathTestingRec,BreathTestxRef,VoterRegistration,VoterRegxRef,PropertyTax,PropertyTaxxRef,FamilyPlanning,FamPlanxRef,HealthcareServiceReport,HCSReportxRef,InfectiousDisEpiSystem,IDEpiSystemxRef,AdminInvestigations,AdminInvestxRef,MedMalReporting,MedMalxRef,MentalHealthGun,MHGunxRef,BirthRelatedComp,BirthRelatedCompxR,ChronicDiseaseIS,ChronicDiseaseISxR,Location 1
24,1370,§ 24-14B-5. Retention of electronic medical records,NM ST § 24-14B-5,Statutes,Chapter 24. Health and Safety,Article 14B. Electronic Medical Records Act,,,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,29,7 AAC 85.005. Purpose and coverage of chapter.,7 AK ADC 85.005 | Title 7. Health and Social Services,Regulations,Title 7. Health and Social Services,Part 6. Miscellaneous,Chapter 85. Electronic and Other Records Containing Behavioral Health Information,Article 1. Submission of Information,"MHR, Other,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,1230,"§ 23-02.1-02.1. Birth, marriage, fetal death, and death records--Transition to electronic birth registration system and electronic death registration system",ND ST 23-02.1-02.1,Statutes,Title 23. Health and Safety,Chapter 23-02.1. Health Statistics Act,,,"VS,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,281,007 TESTING LABORATORY DUTIES,"181 NE ADC Ch. 2, § 007 | Health and Human Services System",Regulations,Health and Human Services System,Title 181: Special Health Programs,Chapter 2 - Screening of Infants for Metabolic Diseases,,"NBBS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,439,Sec. 19a-495-6d. Administration,CT ADC § 19a-495-6d | Title 19A. Public Health and Well-Being,Regulations,Title 19A. Public Health and Well-Being,Department of Public Health (11),"Licensure of Private Freestanding Mental Health Day Treatment Facilities, Intermediate Treatment Facilities and Psychiatric Outpatient Clinics for Adults",,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,2372,§ 25.5-6-113. Health home--integrated services--legislative declaration--contracting--definitions,CO ST § 25.5-6-113,Statutes,Title 25.5. Health Care Policy and Financing,Colorado Medical Assistance Act,Article 6. Colorado Medical Assistance Act-Long-Term Care,Part 1. Long-Term Care Administration,"Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,928,§ 19-142. Definitions,MD HEALTH GEN § 19-142,Statutes,Health--General,Title 19. Health Care Facilities,Subtitle 1. Health Care Planning and Systems Regulation,"Part IV. Electronic Health Records, Regulation and Reimbursement","HIE, EHR-TxR, PayxR,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,1404,8.305.8. QUALITY MANAGEMENT,NM ADC 8.305.8 | Title 8. Social Services,Regulations,Title 8. Social Services—Repealed,Chapter 305. Medicaid Managed Care—Repealed,Part 8. Quality Management,,"Pay,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1737,943-014-0030 Client Privacy Rights,OR ADC 943-014-0030 | Chapter 943. Oregon Health Authority,Regulations,Chapter 943. Oregon Health Authority,Division 14. Privacy and Confidentiality,Privacy of Protected Information,,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,10,12 AAC 40.430. Performance and assessment of practice.,12 AK ADC 40.430 | Title 12. Professional and Vocational Regulations,Regulations,TITLE 12. PROFESSIONAL AND VOCATIONAL REGULATIONS,PART 1. BOARDS AND COMMISSIONS SUBJECT TO CENTRALIZED LICENSING,CHAPTER 40. STATE MEDICAL BOARD,ARTICLE 5. PHYSICIAN ASSISTANTS,"EHR-T,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,595,"641-170.7(17A,135) Administrative divisions of the department.","IA ADC 641-170.7(17A,135) | Agency 641 Public Health Department",Regulations,Agency 641 Public Health Department,Chapter 170 Organization of the Department,,,"HIE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,895,§ 2GGGG. Distressed Hospital Trust Fund,MA ST 29 § 2GGGG,Statutes,Part I. Administration of the Government (Ch. 1-182),Title III. Laws Relating to State Officers (Ch. 29-30B),Chapter 29. State Finance,,"EHR-TxR, PayxR, Other, HITO,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,1743,§ 510.303. Powers and duties,PA ST 35 P.S. § 510.303,Statutes,Title 35 P.S. Health and Safety (Refs & Annos),Chapter 2A. Ehealth Information Technology Act,Chapter 3. Pennsylvania Ehealth Partnership Authority,,"HIE, EHR-TxR, PayxR,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,1362,§ 24-14-26. Reproduction of records,NM ST § 24-14-26,Statutes,Chapter 24. Health and Safety,Article 14. Vital Statistics Act,,,"VS,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,801,311.1911 Definitions for KRS 311.1911 to 311.1959,KY ST § 311.1911,Statutes,Title XXVI. Occupations and Professions,"Chapter 311. Physicians, Osteopaths, Podiatrists, and Related Medical Practitioners",Revised Uniform Anatomical Gift Act,,"AG,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
